PListReader::createAnimationWithPlist animation spiderQueen_layer_shootTowerFail_end_layer with file spiderQueen_layer_animations.plist, frame not load!
PListReader::createAnimationWithPlist animation spiderQueen_layer_shootTower_end_layer with file spiderQueen_layer_animations.plist, frame not load!
PListReader::createAnimationWithPlist animation spiderQueen_layer_attack_layer with file spiderQueen_layer_animations.plist, frame not load!
PListReader::createAnimationWithPlist animation spiderQueen_layer_blockTower_layer with file spiderQueen_layer_animations.plist, frame not load!
PListReader::createAnimationWithPlist animation spiderQueen_layer_death_second_start_layer with file spiderQueen_layer_animations.plist, frame not load!
PListReader::createAnimationWithPlist animation spiderQueen_layer_death_first_loop_layer with file spiderQueen_layer_animations.plist, frame not load!
PListReader::createAnimationWithPlist animation spiderQueen_layer_death_second_loop_layer with file spiderQueen_layer_animations.plist, frame not load!
PListReader::createAnimationWithPlist animation spiderQueen_layer_death_unused_layer with file spiderQueen_layer_animations.plist, frame not load!
PListReader::createAnimationWithPlist animation spiderQueen_layer_walkingDown_layer with file spiderQueen_layer_animations.plist, frame not load!
PListReader::createAnimationWithPlist animation spiderQueen_layer_walkingRightLeft_layer with file spiderQueen_layer_animations.plist, frame not load!
PListReader::createAnimationWithPlist animation spiderQueen_layer_shoutOurs_layer with file spiderQueen_layer_animations.plist, frame not load!
PListReader::createAnimationWithPlist animation spiderQueen_layer_shootTowerFail_loop_layer with file spiderQueen_layer_animations.plist, frame not load!
PListReader::createAnimationWithPlist animation spiderQueen_layer_land_layer with file spiderQueen_layer_animations.plist, frame not load!
PListReader::createAnimationWithPlist animation spiderQueen_layer_flyingUp_layer with file spiderQueen_layer_animations.plist, frame not load!
PListReader::createAnimationWithPlist animation spiderQueen_layer_unused_layer with file spiderQueen_layer_animations.plist, frame not load!
PListReader::createAnimationWithPlist animation spiderQueen_layer_shootTower_loop_layer with file spiderQueen_layer_animations.plist, frame not load!
PListReader::createAnimationWithPlist animation spiderQueen_layer_idle_layer with file spiderQueen_layer_animations.plist, frame not load!
